id;code;nom;is_deleted;createdAt;editedAt;latitude;longitude
11;11;ANALAMANGA;0;14/02/2023;14/02/2023;-1.842.513.337;4.742.324.041
14;14;VAKINANKARATRA;0;15/02/2023;15/02/2023;-1.973.481.001;4.684.738.444
13;13;ITASY;0;16/02/2023;16/02/2023;-1.905.092.249;4.688.659.393
12;12;BONGOLAVA;0;17/02/2023;17/02/2023;-186.042.743;4.613.347.662
33;33;HAUTE MATSIATRA;0;18/02/2023;18/02/2023;-2.144.360.609;4.659.941.694
31;31;AMORON'I MANIA;0;19/02/2023;19/02/2023;-2.049.759.624;4.668.299.504
34;34;IHOROMBE;0;20/02/2023;20/02/2023;-2.251.513.428;4.614.676.212
32;32;ATSIMO-ATSINANANA;0;21/02/2023;21/02/2023;-2.329.478.428;4.724.945.459
53;53;ATSINANANA;0;22/02/2023;22/02/2023;-1.910.199.204;4.868.613.695
52;52;ANALANJIROFO;0;23/02/2023;23/02/2023;-1.637.739.249;4.936.710.017
51;51;ALAOTRA-MANGORO;0;24/02/2023;24/02/2023;-1.790.515.816;4.832.361.525
42;42;BOENY;0;25/02/2023;25/02/2023;-1.629.297.251;4.619.980.807
44;44;SOFIA;0;26/02/2023;26/02/2023;-1.533.408.148;4.829.192.616
41;41;BETSIBOKA;0;27/02/2023;27/02/2023;-1.723.558.889;4.702.821.927
43;43;MELAKY;0;28/02/2023;28/02/2023;-1.771.507.131;4.480.881.104
63;63;ATSIMO-ANDREFANA;0;01/03/2023;01/03/2023;-2.305.987.084;4.442.786.527
61;61;ANDROY;0;02/03/2023;02/03/2023;-2.482.177.017;4.544.543.548
62;62;ANOSY;0;03/03/2023;03/03/2023;-2.398.109.998;4.625.694.303
64;64;MENABE;0;04/03/2023;04/03/2023;-2.024.328.089;4.488.990.797
21;21;DIANA;0;05/03/2023;05/03/2023;-1.334.181.665;4.892.640.804
22;22;SAVA;0;06/03/2023;06/03/2023;-1.431.208.179;4.982.377.191
35;35;FITOVINANY;0;07/03/2023;07/03/2023;-2.198.617.891;4.766.844.492
36;36;VATOVAVY;0;08/03/2023;08/03/2023;-2.098.418.745;4.797.677.165
103;103;ANTANANARIVO AVARADRANO;0;09/03/2023;09/03/2023;-1.890.154.971;4.762.569.051
105;105;AMBOHIDRATRIMO;0;10/03/2023;10/03/2023;-1.866.540.224;4.743.592.204
108;108;ANKAZOBE;0;11/03/2023;11/03/2023;-1.816.226.991;4.705.502.249
116;116;MANJAKANDRIANA;0;12/03/2023;12/03/2023;-1.882.833.357;4.779.052.542
107;107;ANJOZOROBE;0;13/03/2023;13/03/2023;-1.820.250.825;4.775.152.084
106;106;ANDRAMASINA;0;14/03/2023;14/03/2023;-1.930.017.412;4.774.606.759
102;102;ANTANANARIVO ATSIMONDRANO;0;15/03/2023;15/03/2023;-1.902.766.721;4.751.861.845
110;110;ANTSIRABE I;0;16/03/2023;16/03/2023;-1.988.192.311;4.703.189.337
113;113;BETAFO;0;17/03/2023;17/03/2023;-1.994.703.969;4.666.748.255
104;104;AMBATOLAMPY;0;18/03/2023;18/03/2023;-1.946.340.087;4.756.566.393
109;109;ANTANIFOTSY;0;19/03/2023;19/03/2023;-1.974.559.081;4.749.878.776
114;114;FARATSIHO;0;20/03/2023;20/03/2023;-1.941.227.585;4.690.292.967
111;111;ANTSIRABE II;0;21/03/2023;21/03/2023;-1.988.231.913;4.715.860.722
120;120;MANDOTO;0;22/03/2023;22/03/2023;-1.968.272.619;4.619.767.129
112;112;ARIVONIMAMO;0;23/03/2023;23/03/2023;-1.907.051.306;4.724.049.586
117;117;MIARINARIVO;0;24/03/2023;24/03/2023;-1.890.674.979;4.683.078.904
118;118;SOAVINANDRIANA;0;25/03/2023;25/03/2023;-192.270.747;4.655.962.795
119;119;TSIROANOMANDIDY;0;26/03/2023;26/03/2023;-1.884.145.391;4.597.053.664
115;115;FENOARIVOBE;0;27/03/2023;27/03/2023;-1.827.167.477;4.636.196.911
301;301;FIANARANTSOA I;0;28/03/2023;28/03/2023;-2.145.378.563;4.708.755.621
303;303;AMBALAVAO;0;29/03/2023;29/03/2023;-2.187.677.592;4.672.224.966
305;305;AMBOHIMAHASOA;0;30/03/2023;30/03/2023;-2.106.892.435;4.716.887.378
314;314;IKALAMAVONY;0;31/03/2023;31/03/2023;-2.128.859.954;4.621.905.501
302;302;LALANGINA;0;01/04/2023;01/04/2023;-2.141.014.061;4.726.625.503
326;326;VOHIBATO;0;02/04/2023;02/04/2023;-2.166.516.569;4.708.752.187
325;325;ISANDRA;0;03/04/2023;03/04/2023;-2.128.097.394;4.689.656.324
304;304;AMBATOFINANDRAHANA;0;04/04/2023;04/04/2023;-205.023.228;4.630.951.251
306;306;AMBOSITRA;0;05/04/2023;05/04/2023;-2.057.562.799;4.729.988.796
308;308;FANDRIANA;0;06/04/2023;06/04/2023;-2.026.632.757;4.744.270.604
323;323;MANANDRIANA;0;07/04/2023;07/04/2023;-2.075.070.821;4.701.948.084
312;312;IFANADIANA;0;08/04/2023;08/04/2023;-2.109.222.125;4.763.654.888
319;319;NOSY-VARIKA;0;09/04/2023;09/04/2023;-2.056.532.575;4.817.339.923
317;317;MANANJARY;0;10/04/2023;10/04/2023;-2.119.786.068;4.808.658.941
316;316;MANAKARA;0;11/04/2023;11/04/2023;-2.191.632.671;4.787.231.771
310;310;IKONGO;0;12/04/2023;12/04/2023;-2.192.578.131;4.745.026.252
321;321;VOHIPENO;0;13/04/2023;13/04/2023;-2.234.266.536;4.770.615.598
313;313;IHOSY;0;14/04/2023;14/04/2023;-2.234.353.767;4.582.339.905
315;315;IVOHIBE;0;15/04/2023;15/04/2023;-2.252.082.279;469.160.146
311;311;IAKORA;0;16/04/2023;16/04/2023;-2.315.346.352;4.663.456.712
309;309;FARAFANGANA;0;17/04/2023;17/04/2023;-228.065.549;476.585.345
320;320;VAGAINDRANO;0;18/04/2023;18/04/2023;-2.355.799.308;4.739.898.373
318;318;MIDONGY-SUD;0;19/04/2023;19/04/2023;-2.334.310.487;4.699.672.719
322;322;VONDROZO;0;20/04/2023;20/04/2023;-2.268.661.249;4.730.603.577
307;307;BEFOTAKA;0;21/04/2023;21/04/2023;-2.388.451.088;4.681.616.756
501;501;TOAMASINA I;0;22/04/2023;22/04/2023;-1.814.588.289;4.939.530.838
508;508;BRICKAVILLE;0;23/04/2023;23/04/2023;-1.864.180.934;4.885.338.248
517;517;VATOMANDRY;0;24/04/2023;24/04/2023;-193.608.476;4.877.893.493
510;510;MAHANORO;0;25/04/2023;25/04/2023;-2.003.157.133;4.851.769.157
513;513;MAROLAMBO;0;26/04/2023;26/04/2023;-2.009.207.094;4.796.665.533
502;502;TOAMASINA II;0;27/04/2023;27/04/2023;-1.800.554.162;4.914.116.396
507;507;ANTANAMBAO-MANAMPOTSY;0;28/04/2023;28/04/2023;-1.955.847.527;4.847.018.583
515;515;SAINTE-MARIE;0;29/04/2023;29/04/2023;-1.690.033.219;4.990.994.892
512;512;MAROANTSETRA;0;30/04/2023;30/04/2023;-1.546.093.793;4.950.012.363
511;511;MANANARA-NORD;0;01/05/2023;01/05/2023;-1.623.231.138;4.951.193.699
509;509;FENERIVE-EST;0;02/05/2023;02/05/2023;-1.716.364.577;4.920.300.175
518;518;VAVATENINA;0;03/05/2023;03/05/2023;-1.750.603.094;4.902.130.294
516;516;SOANIERANA IVONGO;0;04/05/2023;04/05/2023;-1.672.340.384;4.930.982.917
504;504;AMPARAFARAVOLA;0;05/05/2023;05/05/2023;-1.744.092.639;4.834.273.128
503;503;AMBATONDRAZAKA;0;06/05/2023;06/05/2023;-1.791.858.872;4.845.115.199
514;514;MORAMANGA;0;07/05/2023;07/05/2023;-1.880.593.473;4.826.582.132
505;505;ANDILAMENA;0;08/05/2023;08/05/2023;-1.672.048.604;4.834.912.739
506;506;ANOSIBE AN'ALA;0;09/05/2023;09/05/2023;-1.951.379.998;4.812.456.679
401;401;MAHAJANGA I;0;10/05/2023;10/05/2023;-1.569.685.201;4.634.393.831
420;420;SOALALA;0;11/05/2023;11/05/2023;-1.649.670.249;4.540.883.487
403;403;AMBATOBOENY;0;12/05/2023;12/05/2023;-1.667.073.886;4.647.551.201
416;416;MAROVOAY;0;13/05/2023;13/05/2023;-161.588.639;4.662.377.973
417;417;MITSINJO;0;14/05/2023;14/05/2023;-1.608.480.821;459.273.371
402;402;MAHAJANGA II;0;15/05/2023;15/05/2023;-1.563.998.512;4.676.608.042
419;419;PORT-BERGE;0;16/05/2023;16/05/2023;-1.571.441.211;477.216.949
415;415;MANDRITSARA;0;17/05/2023;17/05/2023;-160.334.771;4.873.623.096
405;405;ANALALAVA;0;18/05/2023;18/05/2023;-1.472.458.358;4.778.103.351
409;409;BEFANDRIANA-NORD;0;19/05/2023;19/05/2023;-1.516.449.836;4.877.215.118
407;407;ANTSOHIHY;0;20/05/2023;20/05/2023;-1.499.309.847;4.805.410.845
408;408;BEALANANA;0;21/05/2023;21/05/2023;-1.455.324.046;488.350.268
414;414;MAMPIKONY;0;22/05/2023;22/05/2023;-1.616.168.897;4.767.329.572
412;412;MAEVATANANA;0;23/05/2023;23/05/2023;-172.395.565;4.689.126.897
421;421;TSARATANANA;0;24/05/2023;24/05/2023;-1.714.456.532;4.764.115.844
411;411;KANDREHO;0;25/05/2023;25/05/2023;-1.740.943.072;4.605.162.279
410;410;BESALAMPY;0;26/05/2023;26/05/2023;-169.036.387;4.491.276.889
404;404;AMBATOMAINTY;0;27/05/2023;27/05/2023;-1.774.294.633;4.559.960.771
406;406;ANTSALOVA;0;28/05/2023;28/05/2023;-1.883.070.071;4.463.097.201
413;413;MAINTIRANO;0;29/05/2023;29/05/2023;-1.773.405.723;4.431.581.716
418;418;MORAFENOBE;0;30/05/2023;30/05/2023;-1.793.465.874;4.495.933.428
601;601;TOLIARA I;0;31/05/2023;31/05/2023;-2.334.036.079;4.365.939.766
611;611;BEROROHA;0;01/06/2023;01/06/2023;-2.148.535.209;4.520.291.714
618;618;MOROMBE;0;02/06/2023;02/06/2023;-2.201.669.436;4.370.539.504
606;606;ANKAZOABO;0;03/06/2023;03/06/2023;-2.216.950.045;4.467.902.325
612;612;BETIOKY;0;04/06/2023;04/06/2023;-2.367.800.692;4.449.390.005
605;605;AMPANIHY;0;05/06/2023;05/06/2023;-245.230.227;4.448.092.207
620;620;SAKARAHA;0;06/06/2023;06/06/2023;-227.865.077;4.444.130.312
602;602;TOLIARA II;0;07/06/2023;07/06/2023;-2.323.014.869;4.379.255.973
610;610;BENENITRA;0;08/06/2023;08/06/2023;-2.340.308.294;4.508.670.589
609;609;BELOHA;0;09/06/2023;09/06/2023;-2.509.059.315;4.502.242.632
621;621;TSIHOMBE;0;10/06/2023;10/06/2023;-2.536.287.051;4.547.244.296
604;604;AMBOVOMBE;0;11/06/2023;11/06/2023;-2.486.047.501;4.578.654.836
607;607;BEKILY;0;12/06/2023;12/06/2023;-2.425.216.747;4.539.490.297
614;614;TAOLANARO;0;13/06/2023;13/06/2023;-2.463.172.877;4.696.046.806
613;613;BETROKA;0;14/06/2023;14/06/2023;-2.337.234.607;4.587.699.052
603;603;AMBOASARY-SUD;0;15/06/2023;15/06/2023;-2.442.397.766;4.635.409.922
616;616;MANJA;0;16/06/2023;16/06/2023;-2.142.012.704;4.419.328.824
619;619;MORONDAVA;0;17/06/2023;17/06/2023;-2.058.014.881;4.437.961.185
615;615;MAHABO;0;18/06/2023;18/06/2023;-2.063.662.933;4.516.562.818
608;608;BELO SUR TSIRIBIHINA;0;19/06/2023;19/06/2023;-1.963.717.584;4.484.212.085
617;617;MIANDRIVAZO;0;20/06/2023;20/06/2023;-191.628.017;4.536.912.781
202;202;ANTSIRANANA II;0;21/06/2023;21/06/2023;-1.258.623.143;4.923.749.823
201;201;ANTSIRANANA I;0;22/06/2023;22/06/2023;-1.229.114.896;4.926.504.546
204;204;AMBILOBE;0;23/06/2023;23/06/2023;-1.348.324.095;4.907.822.826
207;207;NOSY-BE;0;24/06/2023;24/06/2023;-1.333.439.037;4.826.856.882
203;203;AMBANJA;0;25/06/2023;25/06/2023;-1.386.948.241;4.846.558.201
206;206;ANTALAHA;0;26/06/2023;26/06/2023;-152.220.317;5.014.223.932
208;208;SAMBAVA;0;27/06/2023;27/06/2023;-1.422.234.878;4.978.569.058
205;205;ANDAPA;0;28/06/2023;28/06/2023;-1.456.754.001;4.955.354.197
209;209;VOHIMARINA;0;29/06/2023;29/06/2023;-1.348.382.768;4.971.471.773
101;101;ANTANANARIVO RENIVOHITRA;0;30/06/2023;30/06/2023;-1.889.754.444;4.752.333.947
