id;dren;cisco;commune;zap;fokontany;code;name;is_privee;is_eec;is_presco;is_primaire;is_college;is_lycee;is_rurale;village
1;11;101;10101;10101;1010143;101010001;EPP AMPASANDRATSARAHOBY;0;0;1;1;0;0;0;1010143@AMBONDRONA
2;11;101;10101;10101;1010140;101010002;EPP MANARINTSOA ISOTRY;0;0;1;1;0;0;0;1010140@MANARINTSOA ANATIHAZO
3;11;101;10101;10101;1010133;101010003;EPP ISOTRY-AMPEFILOHA;0;0;1;1;0;0;0;1010133@ISOTRY-AMPEFILOHA
4;11;101;10101;10101;1010134;101010004;LYCEE JULES FERRY FARAVOHITRA;0;0;0;0;0;1;0;1010134@FARAVOHITRA
5;11;101;10101;10101;1010134;101010005;EPP FARAVOHITRA;0;0;0;1;0;0;0;1010134@FARAVOHITRA
6;11;101;10101;10101;1010134;101010006;EPP BERNART CANUT;0;0;1;1;0;0;0;1010134@FARAVOHITRA AMBONY
7;11;101;10101;10101;1010130;101010007;EPP ANTOHOMADINIKA III G HANGAR;0;0;1;1;0;0;0;1010130@ANTOHOMADINIKA
8;11;101;10101;10101;1010125;101010008;EPP ANTETEZANA AFOVOANY I;0;0;0;1;0;0;0;1010125@QUARTIER II ANTETEZANAFOVOANY I
9;11;101;10101;10101;1010123;101010009;LYCEE JEAN JOSEPH RABEARIVELO;0;0;0;0;0;1;0;1010123@ANALAKELY
10;11;101;10101;10101;1010123;101010010;EPP ANALAKELY;0;0;1;1;0;0;0;1010123@ANALAKELY
11;11;101;10101;10101;1010127;101010011;EPP ANTANIMENA I;0;0;1;1;0;0;0;1010127@ANTANIAVO
12;11;101;10101;10101;1010109;101010012;EPP ANKADIVATO;0;0;1;1;0;0;0;1010109@ANKADIVATO
13;11;101;10101;10101;1010117;101010013;EPP ANDOHATAPENAKA II;0;0;1;1;0;0;0;1010117@ANDOHATAPENAKA II
14;11;101;10101;10101;1010116;101010014;EPP ANDOHATAPENAKA I;0;0;1;1;0;0;0;1010116@ANDOHATAPENAKA
15;11;101;10101;10101;1010115;101010015;EPP ANDAVAMAMBA;0;0;1;1;0;0;0;1010115@ANDAVAMAMBA
16;11;101;10101;10101;1010111;101010016;EPP ANATIHAZO ISOTRY;0;0;1;1;0;0;0;1010111@ANATIHAZO ISOTRY
17;11;101;10101;10101;1010133;101010017;CEG AMPEFILOHA;0;0;0;0;1;0;0;1010133@AMPEFILOHA
18;11;101;10101;10101;1010110;101010018;EPP ANTANIMBARINANDRIANA;0;0;1;1;0;0;0;1010110@AMPARIBE AMBOHIDAHY MAHAMASINA
19;11;101;10101;10101;1010110;101010019;CEG ANTANIMBARINANDRIANA;0;0;0;0;1;0;0;1010110@MAHAMASINA
20;11;101;10101;10101;1010143;101010020;EPP SOARANO;0;0;0;1;0;0;0;1010143@SOARANO
21;11;101;10101;10101;1010132;101010021;EPP AMBODINISOTRY;0;0;1;1;0;0;0;1010132@AMBODINISOTRY
22;11;101;10101;10101;1010107;101010022;LYCEE GALLIENI ANDOHALO;0;0;0;0;0;1;0;1010107@AMBATOVINAKY
23;11;101;10101;10101;1010102;101010023;EPP 67 HA SUD;0;0;1;1;0;0;0;1010102@67 HA SUD
24;11;101;10101;10101;1010103;101010024;CEG BETSIMITATATRA 67 HA;0;0;0;0;1;0;0;1010103@QUARTIER
25;11;101;10101;10101;1010104;101010025;EPP 67 HA NORD;0;0;1;1;0;0;0;1010104@67HA AVARATRA
26;11;101;10101;10102;1010203;101010026;EPP VOLOSARIKA;0;0;1;1;0;0;0;1010203@VOLOSARIKA
27;11;101;10101;10102;1010222;101010027;EPP ANKADINANDRIANA;0;0;1;1;0;0;0;1010222@ANKADINANDRIANA
28;11;101;10101;10102;1010222;101010028;CEG AVARADROVA;0;0;0;0;1;0;0;1010222@MANJAKAMIADANA
29;11;101;10101;10102;1010221;101010029;EPP MANDROSEZA;0;0;1;1;0;0;0;1010221@MANDROSEZA
30;11;101;10101;10102;1010220;101010030;EPP MANAKAMBAHINY;0;0;1;1;0;0;0;1010220@MANAKAMBAHINY
31;11;101;10101;10102;1010201;101010031;EPP FALIARIVO AMBANIDIA;0;0;1;1;0;0;0;1010201@FALIARIVO
32;11;101;10101;10102;1010219;101010032;EPP ANTSAHABE;0;0;1;1;0;0;0;1010219@ANTSAHABE
